Product Type,Material,Operation,BIS Flag,IS Standard / Note,# SKUs (across 3 platforms)
Lunch Box / Tiffin,Steel/Aluminium,Manual,Mandatory,IS 14756 / IS 1660,541
Thermal/Insulated Flask,Any,,Mandatory,IS 17526,464
Drinking Glass,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,421
Cookware / Pan,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,340
Jar / Canister,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,279
Storage Container,Steel/Aluminium,Manual,Mandatory,IS 14756 / IS 1660,269
Bowl,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,258
Cutlery (Spoon/Fork),Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,234
Dinner Set / Plate,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,230
Pressure Cooker,Any,Manual,Mandatory,IS 2347,186
Casserole,Steel/Aluminium,Manual,Mandatory,IS 14756 / IS 1660,170
Mug / Cup,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,123
Knife,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,70
Colander / Strainer,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,65
Gas Stove,Any,,Mandatory,IS 4246,59
Milk Pan / Tope,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,52
Ladle / Skimmer,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,51
Idli / Steamer Maker,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,41
Induction Cooktop,Any,Electric,Mandatory,IS 302 / CRS,40
Tong / Pakad,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,38
Jug,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,32
Serving Tray,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,31
Spatula / Turner,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,27
Hand Blender / Mixer,Steel/Aluminium,Manual,Mandatory,IS 14756 / IS 1660,25
Sauce Pan / Appe Pan,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,19
Rice / Food Server,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,12
Spice Box,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,11
Gas Lighter,Any,Electric,Mandatory,IS 302 / CRS,5
Tea Infuser,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,5
Butter / Serving Dish,Steel/Aluminium,,Mandatory,IS 14756 / IS 1660,3
Lunch Box / Tiffin,Steel/Aluminium,Electric,Mandatory,IS 302 / CRS,3
Reed Diffuser,Any,Electric,Mandatory,IS 302 / CRS,3
Teapot / Kettle,Any,Electric,Mandatory,IS 302 / CRS,2
USB / Pen Drive,Any,Electric,Mandatory,IS 302 / CRS,2
Baking Mould / Tray,Any,Electric,Mandatory,IS 302 / CRS,1
Baking Paper / Foil,Any,Electric,Mandatory,IS 302 / CRS,1
Candle,Any,Electric,Mandatory,IS 302 / CRS,1
Casserole,Unknown,Electric,Mandatory,IS 302 / CRS,1
Chopper / Peeler / Grater,Any,Electric,Mandatory,IS 302 / CRS,1
Dehumidifier,Any,Electric,Mandatory,IS 302 / CRS,1
Hand Blender / Mixer,Non-metal,Electric,Mandatory,IS 302 / CRS,1
Juicer,Any,Electric,Mandatory,IS 302 / CRS,1
Lunch Box / Tiffin,Unknown,Electric,Mandatory,IS 302 / CRS,1
Pressure Cooker,Any,Electric,Mandatory,IS 2347,1
