Platform,Category,# SKUs (May),"Value-share % (cat, of platform)",Old MRP Sales (Cr),NEW MRP Sales (Cr) — fill
Blinkit,Appliances,1007,5.3,,
Blinkit,Bags,549,5.3,,
Blinkit,Bathroom Essentials,228,5.3,16.6,
Blinkit,Cleaning Tools,128,5.3,17,
Blinkit,"Clothing, Footwear & Accessories",1063,5.3,,
Blinkit,Decorative Lights,706,5.3,,
Blinkit,Festive & Occasion Needs,567,5.3,,
Blinkit,Festive Gifting,111,5.3,,
Blinkit,"Flowers, Plants & Gardening",206,5.3,,
Blinkit,Garbage Bags,95,5.3,,
Blinkit,Home Decor,583,5.3,14,
Blinkit,Home Furnishing,2291,5.3,,
Blinkit,Home Improvement,88,5.3,6.4,
Blinkit,Kitchen & Dining Needs,1894,5.3,68.6,
Blinkit,Party Essentials,106,5.3,,
Blinkit,Pooja Needs,686,5.3,,
Blinkit,Sports & Fitness,469,5.3,,
Blinkit,Stationery Needs,460,5.3,,
Blinkit,Tissues & Disposables,355,5.3,,
Instamart,Bakeware & Bbq,178,3.6,1.4,
Instamart,Barware,416,3.6,1.1,
Instamart,Bathware & Laundry,709,3.6,8.1,
Instamart,Bottles Flasks Tiffins,1339,3.6,16.5,
Instamart,Cleaning Tools,452,3.6,12.5,
Instamart,Cookware,405,3.6,12.6,
Instamart,Cutlery & Ladles,175,3.6,0.353,
Instamart,Gardening,284,3.6,,
Instamart,Glasses Cups Mugs,808,3.6,4.8,
Instamart,Home Appliances,214,3.6,,
Instamart,Home Decor,2437,3.6,,
Instamart,Home Furnishing,2153,3.6,,
Instamart,Jars Containers Holders,1083,3.6,6.5,
Instamart,Kitchen Appliances,259,3.6,,
Instamart,Kitchen Cleaning,97,3.6,3.4,
Instamart,Kitchen Tools,280,3.6,5.4,
Instamart,Lights & Bulbs,159,3.6,,
Instamart,Linen And Furnishing,479,3.6,,
Instamart,Personal Care Appliances,183,3.6,,
Instamart,Plates Bowls Crockery,772,3.6,5.7,
Instamart,Pooja Needs,877,3.6,,
Instamart,Powerbanks Chargers Cables,372,3.6,,
Instamart,Serveware,165,3.6,1.2,
Instamart,Sports & Gym,1007,3.6,,
Instamart,Storage & Organizers,805,3.6,7.1,
Instamart,Tissues & Disposables,249,3.6,,
Instamart,Travel And Luggage,259,3.6,,
Instamart,Utility & Tools,1101,3.6,,
Zepto,Bath & Laundry,281,4.0,2.8,
Zepto,Bulbs & Lights,386,4.0,,
Zepto,Cleaning Aids,542,4.0,17.7,
Zepto,Cookware,453,4.0,6.7,
Zepto,Drinkware & Bar,462,4.0,3.9,
Zepto,Extensions & Switches,79,4.0,,
Zepto,Gardening,521,4.0,,
Zepto,Gas Stove & Accessories,55,4.0,2.1,
Zepto,Hardware & Fittings,179,4.0,1.4,
Zepto,Home Appliances,461,4.0,,
Zepto,Home Decor,1177,4.0,7.3,
Zepto,Home Furnishing,2646,4.0,,
Zepto,Household Utility,445,4.0,9.6,
Zepto,Kitchen Aids,99,4.0,3.1,
Zepto,Kitchen Appliances,410,4.0,,
Zepto,Kitchen Cleaning,31,4.0,0.529,
Zepto,Kitchen Storage,661,4.0,7.1,
Zepto,Kitchen Tools,661,4.0,7.2,
Zepto,Lunch Boxes,308,4.0,3.5,
Zepto,Pooja & Worship Needs,1414,4.0,,
Zepto,Pressure Cooker,90,4.0,2.1,
Zepto,Stationery & Crafts,249,4.0,,
Zepto,Steel Utensils,235,4.0,1.9,
Zepto,Tableware,334,4.0,1.3,
Zepto,Tissues & Disposables,447,4.0,,
