Platform,Product ID,Product Name,Category,Sub-Category
Blinkit,445679,Aravi 10 m Braided Twisted Cloth Rope (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,538785,Aravi 10 m Braided Twisted Nylon Cloth Rope (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,375270,Aravi 10 m Plastic Cloth Rope (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,538787,Aravi 10 m Plastic Cloth Rope (Yellow),Bathroom Essentials,Bathroom Essentials
Blinkit,477394,Aravi Plastic Multicolour Plastic Cloth Clips (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,613761,Bathla 3 Level Steel Cloth Dryer Stand (Orange),Bathroom Essentials,Bathroom Essentials
Blinkit,613754,Bathla Foldable Cloth Dryer Stand (Light Orange),Bathroom Essentials,Bathroom Essentials
Blinkit,613763,Bathla Foldable Steel Cloth Dryer Stand,Bathroom Essentials,Bathroom Essentials
Blinkit,461483,"Bianca Paradiso Cotton Bath Towel (60"" x 28"", Burgundy)",Bathroom Essentials,Bathroom Essentials
Blinkit,461493,"Bianca Paradiso Cotton Bath Towel (60"" x 28"", Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,461490,"Bianca Paradiso Cotton Bath Towel (60"" x 28"", Wheat)",Bathroom Essentials,Bathroom Essentials
Blinkit,456448,Bianca Ultra Soft Zero Twist Paradiso Cotton Bath Towel (Grey),Bathroom Essentials,Bathroom Essentials
Blinkit,456445,Bianca Ultra Soft Zero Twist Paradiso Cotton Bath Towel (Navy Blue),Bathroom Essentials,Bathroom Essentials
Blinkit,456447,Bianca Ultra Soft Zero Twist Paradiso Cotton Bath Towel (Wheat),Bathroom Essentials,Bathroom Essentials
Blinkit,456451,Bianca Ultra Soft Zero Twist Paradiso Cotton Hand Towel (Navy),Bathroom Essentials,Bathroom Essentials
Blinkit,639102,"Boldfit Microfiber Suede Bath Towel (35.5"" x 25.5, Dark Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,639096,"Boldfit Microfiber Suede Hand Towel (21.2"" x 16.5"", Dark Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,547216,"Cello Classic Perfect Posture Stool (Plastic, Brown)",Bathroom Essentials,Bathroom Essentials
Blinkit,547241,Cello Frosty Bucket (Blue),Bathroom Essentials,Bathroom Essentials
Blinkit,547245,"Cello Petal Bathroom Set (Plastic, Light Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,547338,"Cello Plastic Pedal Dustbin (Plastic, Brown)",Bathroom Essentials,Bathroom Essentials
Blinkit,524233,"Cotton Terry Bath Towel - T101 (27.5 X 55 inches, 500 GSM, Navy Blue) by Jockey",Bathroom Essentials,Bathroom Essentials
Blinkit,539587,"Creative Space Round Plastic Cloth Hanger with 24 Clips (White, Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,569598,"Decathlon Microfiber Quickdry Towel - Dark Blue, 85x160cm - NABAIJI",Bathroom Essentials,Bathroom Essentials
Blinkit,100000008,Dummy Product,Bathroom Essentials,Bathroom Essentials
Blinkit,560936,"D’Decor Brio 100% Cotton Plains & Textures 4 pc Towel Set (500 GSM, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,561068,"D’Decor Brio Cotton Bath Towel (29.5'' x 59'', Beige)",Bathroom Essentials,Bathroom Essentials
Blinkit,561075,"D’Decor Brio Cotton Bath Towel (29.5'' x 59'', Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,561072,"D’Decor Brio Cotton Bath Towel (29.5'' x 59'', Navy Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,560953,"D’Decor Brio Cotton Towel Set (Bath Towel: 75 cm x 1.5 m Hand Towel: 40 x 60 cm, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,561079,"D’Decor Brio Plain & Textures Cotton Hand Towel (15.7"" x 23.6"", Beige)",Bathroom Essentials,Bathroom Essentials
Blinkit,560945,"D’Decor Plain & Textured Cotton Towel Set (Bath: 29.5"" x 59"" Hand: 15.7"" x 23.6"", Magenta)",Bathroom Essentials,Bathroom Essentials
Blinkit,561082,"D’Decor Plains & Textures Cotton Hand Towel (15.7"" x 23.6"", Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,561088,"D’Decor Plains & Textures Cotton Hand Towel (15.7"" x 23.6"", Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,623800,"ECO SENSE® Diamond Weave Non Terry Cotton Bath Towel (29.5"" x 59"", 180 GSM, Light Blue)",Bathroom Essentials,Bathroom Essentials
Blinkit,623611,"Eco Sense Basket Weave Non Terry Cotton Bath Towel (29.5"" x 59"", Brown)",Bathroom Essentials,Bathroom Essentials
Blinkit,623623,"Eco Sense Basket Weave Non Terry Cotton Bath Towel (29.5"" x 59"", Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,623636,"Eco Sense Diamond Weave Non Terry Cotton Bath Towel (29.5"" x 59"", Pink)",Bathroom Essentials,Bathroom Essentials
Blinkit,623787,"ExclusiveLane Bathroom Accessory Set (Ceramic, White & Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,595096,"ExclusiveLane Designer Bathroom Accessory Set (Ceramic, White)",Bathroom Essentials,Bathroom Essentials
Blinkit,481119,Fackelmann Adhesive Oval Shaped Hooks,Bathroom Essentials,Bathroom Essentials
Blinkit,481123,Fackelmann Triangle Adhesive Hooks,Bathroom Essentials,Bathroom Essentials
Blinkit,545184,Full Houz Nylon Cloth Rope (10 m) (Blue),Bathroom Essentials,Bathroom Essentials
Blinkit,532122,Full Houz Plastic Cloth Clips (Brown),Bathroom Essentials,Bathroom Essentials
Blinkit,532115,Full Houz Plastic Cloth Clips (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,545174,Full Houz Twisted Microfiber Cloth Rope (10 m) (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,609446,G.Fidel Faucet Aerator 1080° Tap Extender,Bathroom Essentials,Bathroom Essentials
Blinkit,565934,"GEBI Liquid Soap Dispenser (Plastic, Grey)",Bathroom Essentials,Bathroom Essentials
Blinkit,426590,"Gala Chandra Plastic Cloth Brush (White, Green)",Bathroom Essentials,Bathroom Essentials
Blinkit,61307,Gala Plastic Cloth Brush (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,604046,"Gluman Stainless Steel, Plastic Cloth Hanger (Black)",Bathroom Essentials,Bathroom Essentials
Blinkit,626523,HangitNow Cloth Hanger with Notches (White),Bathroom Essentials,Bathroom Essentials
Blinkit,612392,HangitNow Multipurpose Plastic Cloth Hanger (Multicolour),Bathroom Essentials,Bathroom Essentials
Blinkit,625806,HangitNow Pants and Sarees Plastic Cloth Hanger Set (Colour May Vary),Bathroom Essentials,Bathroom Essentials
Blinkit,624647,HangitNow Velvet Cloth Hanger Set (Black),Bathroom Essentials,Bathroom Essentials
Blinkit,612385,HangitNow Versatile Plastic Cloth Hanger (Multicolour),Bathroom Essentials,Bathroom Essentials
