"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","595096",,"ExclusiveLane Designer Bathroom Accessory Set (Ceramic, White)","2 pcs","Bathroom Essentials","ExclusiveLane",,,688.9354838709677,1510,,31.25763,54.41034263074411,0.08092532059033851,0.06747,0.09068,0.01093,0.29359,685.5172588737305
"2026-03-01","541740",,"myTrident Comfort Living Cotton Bath Towel (55"" x 28"", Candy Glow)","1 pc","Bathroom Essentials","MYTRIDENT",,,599,599,,0.19741,0,0,0,,,,59900
"2026-03-01","563330",,"Homestrap Multi Hook Lotus Wood & Stainless steel Cloth Hanger (Brown)","1 pc","Bathroom Essentials","Homestrap",,,281.85011870633394,599,,23.65935,56.02985125745394,0.03772671359355158,0.02525,,,,219.53241400156648
"2026-03-01","639096",,"Boldfit Microfiber Suede Hand Towel (21.2"" x 16.5"", Dark Grey)","1 pc","Bathroom Essentials","Boldfit",,,199.84101875403607,499,,41.3076,60.00865010960303,0.32811123753216714,0.2407,0.09882,0.13766,0,199.50657169255433
"2026-03-01","606846",,"The Better Home Liquid Soap Dispenser For Bathroom (Ceramic, Grey)","1 pc","Bathroom Essentials","The Better Home",,,499,995,,0.70583,49.84924623115578,0,0,,,,499
"2026-03-01","627761",,"Peepul Tree Hand Block Printed Cotton Hand Towel (24"" x 16"" x 0.1"", White)","2 pcs","Bathroom Essentials","Peepul Tree",,,498.49915116002006,1673,,53.27488,70.21159816111206,0.24367113214412142,0.13321,0.19702,0.07358,0.51108,249.12321660928515
"2026-03-01","538785",,"Aravi 10 m Braided Twisted Nylon Cloth Rope (Multicolour)","1 pc","Bathroom Essentials","Aravi",,,39.24312843238024,199,,86.30021,80.27171099571763,2.3890873373669264,0.86349,1.6445,2.29084,0,39.25929511852194
"2026-03-01","535552",,"KOPA D`Ross Quick Dry Cotton Hand Towel (24"" x 16"", Navy Blue)","2 pcs","Bathroom Essentials","Kopa",,,301.9910518522612,499,,52.75736,39.28963465755808,0.32681997315058925,0.36066,0.2753,0.3835,0,151.4370314040514
"2026-03-01","626992",,"Joseph Joseph Caddy Large Kitchen Organizer","1 pc","Bathroom Essentials","Joseph Joseph",,,3699,4599,,31.60291,19.569471624266146,0.0011340072405207015,0.00167,0.03781,0,0.13399,3699
"2026-03-01","626523",,"HangitNow Cloth Hanger with Notches (White)","50 pcs","Bathroom Essentials","HangitNow",,,449,1299,,15.06925,65.43494996150886,0.07318933032011642,0.04646,0.02598,0.03619,0,8.98
"2026-03-01","545174",,"Full Houz Twisted Microfiber Cloth Rope (10 m) (Multicolour)","1 pc","Bathroom Essentials","fullhouz",,,89,120,,80.73387,25.83333333333333,0.05026822931368738,0.06847,0.10372,0.14448,0,89
"2026-03-01","565934",,"GEBI Liquid Soap Dispenser (Plastic, Grey)","1 pc","Bathroom Essentials","Gebi",,,229,239,,0.20363,4.184100418410042,0.00005893212970030184,0.0001,0.00003,0.00004,0,228.99999999999997
"2026-03-01","541481",,"Nautica Vintage Crew Stripe Super Soft Cotton Face Towel (12"" x 12"", Royal Blue)","4 pcs","Bathroom Essentials","Nautica",,,311.50567354326364,759,,48.20067,58.50167778007404,0.18740063209558797,0.14262,0.13785,0.19198,0.00011,79.15262983595287
