"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","581893",,"Mad Over Print MDF Rainbow & Be-Kind Coaster Set (Pink)","2 pcs","Kitchen & Dining Needs","Mad Over Print",,,119,149,,0.924,20.13422818791946,0.000026454429276547317,0.00004,,,,59.49999999999999
"2026-03-01","553960",,"Mad Over Print Beer Mug for Father's Day (Glass)","1 pc","Kitchen & Dining Needs","Mad Over Print",,,302,599,,4.22858,49.58263772954925,0,0,0.00017,0.00024,0,302
"2026-03-01","380543",,"Vinod Tawa (Aluminium)","1 unit","Kitchen & Dining Needs","Vinod",,,846.2130907654755,1005.9278147311828,,49.12036,15.874235440832752,0.002529183238017878,0.00371,0.0041,0.00595,0,849.916906779846
"2026-03-01","577762",,"Glasafe Glass Lunch Box","1 pc","Kitchen & Dining Needs","Glasafe",,,429,1149,,41.31927,62.663185378590086,0.012421154120658908,0.00798,0.00226,0.00328,0,428.9999999999999
"2026-03-01","546299",,"Bajaj Splendid 120 TS Induction Cooktop (1200 W)","1 unit","Kitchen & Dining Needs","Bajaj",,,2071.8827459503905,3995.8846535338353,,17.19995,48.56085173260623,0.25511497833836116,0.2244,0.05818,0.02648,0.12859,2057.3168567910643
"2026-03-01","556822",,"Birch & Co. Cake Stand – Metal 8"" (White & Golden)","1 pc","Kitchen & Dining Needs","Birch & Co.",,,709,1499,,3.19258,52.70180120080053,0,0,,,,709
"2026-03-01","563757",,"Cutting EDGE Glass Borosilicate Container Set","5 pcs","Kitchen & Dining Needs","Cutting Edge",,,1350.515943694754,2399.9892472983875,,53.99467,43.87287178415805,0.18061755773953656,0.17485,0.08147,0.10431,0.03073,269.1874290733482
"2026-03-01","535360",,"Mad Over Print MDF Tribal Pattern Coaster Set (Multicolour)","6 pcs","Kitchen & Dining Needs","Mad Over Print",,,311.1373848510508,599,,83.82493,48.12185326284076,0.015195475238480978,0.01355,0.01133,0.01644,0,51.708843179827035
"2026-03-01","567167",,"Cello Opalware 16 Pcs Dazzle Swirl Dinner Set (Blue, White)","16 pcs","Kitchen & Dining Needs","Cello",,,1150.578161929504,2249,,74.93165,48.981889788841784,0.7505427530065474,0.65955,0.31124,0.3578,0.20784,1147.3793447431615
"2026-03-01","578550",,"Embassy Stainless Steel 6 pcs 29 cm Dinner Plate Set (Silver)","6 pcs","Kitchen & Dining Needs","Embassy",,,1649,2249.8251177464786,,11.58044,26.705414256744138,0.0033427979536370597,0.00427,,,,274.8333333333335
"2026-03-01","552981",,"Prestige Platina Popular Kadai Glass Lid (Stainless Steel)","1 unit","Kitchen & Dining Needs","Prestige",,,1253.7449764646276,1596.3822211693546,,59.53531,21.377458584001456,0.18541403777615192,0.25359,0.05012,0.05952,0.02924,1253.0486677114477
"2026-03-01","697178",,"Wonderchef Stainless Steel Ambrosia Mixing Bowl Set (Silver)","1 set","Kitchen & Dining Needs","Wonderchef",,,433.69924224264577,979.6064632661291,,68.30478,55.883045615066266,0.09615730099913297,0.07374,0.01482,0.02149,0,434.23575058297024
"2026-03-01","741045",,"Gluman Plastic Dinner Plate Set (White)","6 pcs","Kitchen & Dining Needs","Gluman",,,349,599,,7.97053,41.736227045075125,0.0008862474381543322,0.00089,0.00023,0.00033,0,349
"2026-03-01","654050",,"The Green Chapter Stainless Steel Straw Set","5 pcs","Kitchen & Dining Needs","The Green Chapter",,,199,299,,8.10952,33.444816053511715,0.0017341449110187433,0.00199,0.02529,0.00204,0.07695,39.800000000000004
"2026-03-01","519979",,"Super Mom by Apex Coconut Opener","1 pc","Kitchen & Dining Needs","super mom by apex",,,79.74408051480536,150,,64.35951,47.32961713689471,0.421049429450127,0.38181,0.03503,0.0508,0,79.00662648586365
"2026-03-01","710972",,"Two Moustaches Ethnic Floral Serving Tray (Multicolour)","2 pcs","Kitchen & Dining Needs","Two Moustaches",,,895,1595,,16.17813,43.8871473354232,0.00028318495278905676,0.00027,0,0,0,447.49999999999994
"2026-03-01","606331",,"Housegoods Premium Chopping Board 35 x 25 cm (Stainless Steel)","1 pc","Kitchen & Dining Needs","housegoods",,,599,1999,,27.41347,70.03501750875438,0.002957608601988012,0.00153,0.00073,0.00106,0,599
"2026-03-01","618756",,"averX Polypropylene Rectangular Lunch Box","1 pack","Kitchen & Dining Needs","averx",,,299.00125430107533,999,,57.16005,70.06957557830152,0.1601421520793238,0.08251,0.04818,0.03782,0.07118,299.0051587337242
"2026-03-01","173888",,"Prestige Omega Deluxe Induction Base Non-Stick Cookware Set (Aluminium)","3 pcs","Kitchen & Dining Needs","Prestige",,,1938.5491884324704,3850.58478358871,,49.5598,49.54931035524105,0.7476752648078512,0.6518,0.1717,0.2473,0.00375,1948.283731210148
"2026-03-01","691092",,"Nayasa Steel Bethany Insulated Casserole (White)","1 pc","Kitchen & Dining Needs","Nayasa",,,1069,1069,,53.70086,0,0.0005010612823209291,0.00086,0.00019,0.00027,0,1069
"2026-03-01","621475",,"averX Plastic Pull N Chop Manual Chopper (450 ml)","1 pc","Kitchen & Dining Needs","averx",,,199,499,,48.17122,60.12024048096192,0.4638507929113638,0.31843,0.32997,0.46807,0.0232,199
"2026-03-01","577753",,"Glasafe Glass Lunch Set","1 pc","Kitchen & Dining Needs","Glasafe",,,1749,4846,,1.44672,63.90837804374742,0.0015056728547146007,0.00094,,,,1748.9999999999998
"2026-03-01","544034",,"Pigeon Gas Lighter with Knife (Stainless Steel)","2 pcs","Kitchen & Dining Needs","Pigeon",,,,,,0,,0,0,,,,
"2026-03-01","480974",,"Happy Kitchen Stainless Steel Lemon Squeezer (Stainless Steel)","1 pc","Kitchen & Dining Needs","Happy Kitchen",,,254.90567992430104,267.6153128225806,,68.8552,4.990460679961378,0.01580732035787571,0.02558,0.01046,0.01517,0,255.78620596671564
"2026-03-01","543154",,"Amaya Decors Napkin Ring (Aluminium)","6 pcs","Kitchen & Dining Needs","Amaya Decors",,,606.0889751217421,1299,,45.54074,52.9349397905727,0.013462466972560108,0.01138,0.00005,0.00007,0,106.26970806554321
"2026-03-01","553664",,"HAZEL Big Spatula (Plastic)","1 pc","Kitchen & Dining Needs","Hazel",,,116,429,,21.9057,72.96037296037296,0.0004316126574404636,0.0002,0,0.00001,0,115.99999999999997
