"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","579846",,"Resin Ganesha Idol (6"") by Tied Ribbons","1 pc","Home Decor","Tied Ribbons",,,599.3199847204316,1299,,65.31797,53.86467640627271,0.12509493067690844,0.13021,0.06933,0.11845,0,599.1300738050103
"2026-03-01","579528",,"House of Quirk Cotton Foldable Cloth Organizer with Metal Frame (Grey)","2 pcs","Home Decor","House of Quirk",,,699,1999,,42.98371,65.03251625812906,0.10984091094559682,0.0867,0.01979,0.03382,0,349.5
"2026-03-01","596372",,"FunBlast Paper Foldable Ottoman (Green)","1 unit","Home Decor","FunBlast",,,629,999,,0.02483,37.03703703703704,0.003919179012494937,0.00557,,,,629
"2026-03-01","540644",,"Scented Candle (Apple Cinnamon) by Auradecor","1 pc","Home Decor","Auradecor",,,182.54379646088088,999,,85.95208,82.27340559080514,0.2791448374426092,0.10475,0.31016,0.52993,0,171.9079528573174
"2026-03-01","637075",,"ExclusiveLane Joyful Family Modern Showpiece (7.7"" x 10.5"", Multicolour)","1 pc","Home Decor","ExclusiveLane",,,1299,2825,,0.56675,54.017699115044245,0,0,,,,1299
"2026-03-01","554601",,"Homestrap Plastic Multi-Functional Small Basket (Brown)","1 unit","Home Decor","Homestrap",,,167.1521824670771,299,,70.34026,44.17872984301765,1.0941694555943897,1.37537,4.08779,3.867,4.39941,166.90556285111663
"2026-03-01","559285",,"Tealight Candle Set (Unscented) by Auradecor","10 pcs","Home Decor","Auradecor",,,115.2105272868718,299,,75.90565,61.42718727074406,0.03463088716206296,0.03012,0.02989,0.05106,0,11.602918489329076
"2026-03-01","599777",,"Kuber Industries Foldable Drawer Organizer (Black)","12 pcs","Home Decor","Kuber Industries",,,887,3999,,0.34606,77.81945486371593,0,0,,,,73.91666666666666
"2026-03-01","564426",,"Sammsara Glasgow Globe Showpiece (13.5"", Golden)","1 pc","Home Decor","Sammsara",,,1299,1689,,0.13598,23.090586145648313,0.0018931769918787212,0.00329,0,0.00001,0,1299
"2026-03-01","606557",,"House of Quirk Plastic Lazy Susan 360 Degree Storage Box (Green)","1 unit","Home Decor","House of Quirk",,,499,699,,44.34478,28.61230329041487,0.03851004296700623,0.06205,0.00297,0.00507,0,498.99999999999994
