"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","X20OB7R1YD",,"Swastik Housewares Square Glass Ash Tray (11cm, Transparent)","1 Piece","Barware","Swastik Housewares",,,134.55967471209206,175,,63.15985,23.382079286829562,1.15571175163319,1.49547,2.22657,2.48228,0.15369,133.94057813025196
"2026-03-01","HVNV0OHGHX",,"Bartique Bar Tool Set (8pcs, Silver) + FREE Cello Zenith Stack Bowl Set (500ml, 2pcs) Combo","1 combo","Barware","bartique",,,1651.0139755405885,2248,,27.46331,26.556317814030763,,,,,,1651.0139755405885
"2026-03-01","G3G4SC177J",,"Dynore Stainless Steel Tall Peg Measure (30 or 60 ml)","1 Piece","Barware","Dynore",,,118.96971469950883,249.9976120967742,,56.73764,54.09598270178208,2.0357062496098424,1.55187,1.41558,1.59021,0,113.95364077790032
"2026-03-01","A1GOY8KBSP",,"Star Ever White Stainless Steel Cocktail Shaker (500ml, Silver)","1 Piece","Barware","star ever white",,,170.92498910961135,299,,23.85363,42.87026960521807,0.0996499503250081,0.09235,0.19392,0.21784,0,165.52674770888243
"2026-03-01","ITJE274XOX",,"Borosil Borosilicate Glass Designer Plate with Whiskey Glass (300ml each, Set of 4)","1 pack","Barware","Borosil",,,565,860,,11.547,34.30232558139535,0,0,0.00006,0.00007,0,565
"2026-03-01","9I6FNYYK8Q",,"Ocean Plaza Whiskey Glass (295ml, 6pcs) + FREE Clazkit Honeycomb Ice Tray (37 Cavity) Combo","1 combo","Barware","Ocean",,,775.6050830889541,1143.4556793548386,,70.62257,32.1700790776109,,,,,,775.6050830889541
"2026-03-01","VVWI0FH3GW",,"Dynore Stainless Steel Bar Spoon with Crusher (29 cm, Silver)","1 Piece","Barware","Dynore",,,140.68473100930078,329.95027730232556,,9.56406,57.39138382475979,0.03766884851049069,0.02309,0.00873,0.00978,0.0002,122.50855571754143
"2026-03-01","PQ03PL800O",,"Agaro Glass Beer Mug (397ml, 2pcs, Transparent) + FREE Clazkit Honeycomb Ice Tray (37 Cavity) Combo","1 combo","Barware","Agaro",,,435.7494832041344,618,,3.8156,29.490374886062398,,,0.70905,0.79652,0,435.7494832041344
"2026-03-01","QS8ZLSOYVH",,"Dynore Stainless Steel Double Sided Tall Peg Measures (15/30, 20/40 & 30/60ml, 3 Pieces, Silver)","1 pack","Barware","Dynore",,,,,,0,,,,,,,
"2026-03-01","QKKLJFODBC",,"Pasabahce Luzia Whiskey Glass (300ml, 6pcs) + FREE Star Ever White SS Ice Tong (18cm, Silver) Combo","1 combo","Barware","Pasabahce",,,706.5806451612904,1648,,40.07782,57.12496085186345,,,,,,706.5806451612904
"2026-03-01","JO7YU6BHGU",,"ATTRO Drinking Glass with Lid & Straw (400ml, Perfect for Juices & More)","1 Piece","Barware","attro",,,316.98446505984555,606.3960260080645,,22.2868,47.8332876396992,0.4297941170682341,0.36509,0.05697,0.064,0,313.0692813511842
