"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","3MK4ALM9VU",,"Joyo Plastic Square Shape Cloth Hanger (Assorted)","1 Piece","Bathware & Laundry","Joyo",,,258.175442086318,505.2213120338983,,12.30752,48.95157604392764,0.020274666344820176,0.01851,0.00719,0.00859,0,241.75657577487462
"2026-03-01","A5ISOB3AV7",,"Bathla Stainless Steel Aquila Wall Mountable Angle Valve (Silver)","1 Piece","Bathware & Laundry","Bathla",,,662.1970976830289,799,,27.45313,17.135531408553348,0.01587818827452514,0.02524,0.00776,0.00926,0,654.1415993757067
"2026-03-01","NIVZ3A1IWA",,"Nayasa Plastic Stylo Liquid Soap Dispenser (Pink)","1 Piece","Bathware & Laundry","Nayasa",,,246.03227486738456,279,,19.17246,11.830671837277485,0.014302849125007476,0.02416,0.00672,0.00802,0,244.46388725357065
"2026-03-01","ZUAC2DO017",,"Cello Plastic Classic Perfect Posture Bath Stool (Brown)","1 Piece","Bathware & Laundry","Cello",,,880.3766233766235,970,,3.95004,9.239523363234696,0.00021910574615259426,0.0003,0.00014,0.00016,0,748.9731770315915
"2026-03-01","ZC0YM0RSKR",,"Ddesh Cotton Striped Jute Laundry Basket with Lid (35cm, Brown)","1 Piece","Bathware & Laundry","ddesh",,,1866.7046897546895,2999,,26.12534,37.75406973094008,0.08330625401027518,0.09932,0.00958,0.01144,0,1865.9868882069586
"2026-03-01","YLQA9EHNOM",,"Crownsy Fabric Laundry Bag (75L, Blue and Grey)","1 Piece","Bathware & Laundry","crownsy",,,184.0625,599,,0.08691,69.27170283806343,0.0008116533206271118,0.00049,0,0,0,187.61875945537065
"2026-03-01","5KAQWGXPZC",,"Nautica Cotton Bath Robe (500GSM, Dark Grey)","1 Piece","Bathware & Laundry","Nautica",,,2542.0720618650944,5199,,21.5273,51.10459584794972,0.015662741065877877,0.01364,0.00011,0.00014,0,2460.5432370020817
"2026-03-01","HRSZUSRR7Z",,"Soham Housewares Stainless Steel Cloth Drying Clip Set (Silver)","1 pack","Bathware & Laundry","Soham Housewares",,,97.70852181504726,198.98726754032256,,71.48837,50.8642171846168,0.5012899634512673,0.47166,0.40686,0.48574,0,97.73685020779513
"2026-03-01","THFBBAPT9D",,"Jaypee Plus Everyday Mug (1.5L, Lucent Brown)","1 Piece","Bathware & Laundry","Jaypee Plus",,,53.621169381158154,63,,27.44925,15.304124133049442,0.00829471753291964,0.01324,0.0545,0.06467,0.00201,52.45213751638951
"2026-03-01","X8PETOY5B0",,"Kent Alkaline Water Filter Pitcher (3.5 Liters, Balances pH Levels, Blue)","1 Piece","Bathware & Laundry","Kent",,,1927.7074496911428,2950,,47.3028,34.653984756232454,0.011991872934140132,0.01495,0.00203,0.00242,0,1956.472971659285
"2026-03-01","CKPF9GXU1W",,"Bathla Dorado Stainless Steel Large Towel Rack with Hooks (Silver)","1 Piece","Bathware & Laundry","Bathla",,,1319.0958657556314,1899,,11.16635,30.528598518476347,0.04481613593057978,0.06039,0.0036,0.00419,0.00057,1323.9459330406323
"2026-03-01","1WAKG2RQOQ",,"Nayasa Plastic Rimmy Mug (1.5L, Transparent)","1 Piece","Bathware & Laundry","Nayasa",,,94.28382520017907,105,,33.02211,11.13859177273881,0.02026314872674784,0.03431,0.00497,0.00593,0,92.21302778705443
"2026-03-01","JHHCZ7O6J9",,"Kuber Industries Plastic Soap Holder (14cm, Sky Blue)","1 Piece","Bathware & Laundry","Kuber Industries",,,83.92532778892313,199,,62.89714,57.590840801425834,0.4850050000067051,0.39067,1.14368,0.34712,5.25213,84.45138433119276
"2026-03-01","RX0ERJ3U8L",,"The Artment Black Orbit Round Mirror (16 Inch, Minimal High Definition)","1 Piece","Bathware & Laundry","The Artment",,,2099,2099,,5.03505,0,0,0,0.00109,0.0013,0,209900
"2026-03-01","VNUOFNEHE8",,"Plantex Aluminium 4-Arm Swing Towel Hanger (Black)","1 Piece","Bathware & Laundry","Plantex",,,1156.6894538691122,2807,,3.91401,58.79268066016701,0,0,0.00005,0.00006,0,1156.6894538691122
"2026-03-01","MT08Y6BBDD",,"Kuber Industries Bathrobe (Unisex, Maroon)","1 Piece","Bathware & Laundry","Kuber Industries",,,568.7089117512224,999,,21.00195,43.12671060133165,0.16446955355215007,0.17738,0.00284,0.00339,0,563.1451542044854
"2026-03-01","U371TP0YUB",,"Bathla Mobidry Aero Cloth Dryer","1 Piece","Bathware & Laundry","Bathla",,,1650.6617792731654,4999,,15.70982,66.96837138574845,0.3296518444108941,0.20837,0.05718,0.06827,0,164944.41338053756
"2026-03-01","76J5UIWGRY",,"Swastik Housewares Plastic Round Hanger with 24 Clips (White and Green)","1 pack","Bathware & Laundry","Swastik Housewares",,,185.58323830782166,299.6473664848485,,57.99668,38.22835589240467,0.1374695467628081,0.16269,0.22243,0.25762,0.04092,185.18095438534738
"2026-03-01","XXAXXSAJ1O",,"Jalore Plastic Floral Bathroom Set (Beige)","3 pieces","Bathware & Laundry","jalore",,,806.4493132632546,1798.9986585080644,,72.4281,54.91532595844218,0.3470979192585372,0.30077,0.30604,0.36538,0,274.6867408115475
"2026-03-01","YV7RAPTIPZ",,"Kuber Industries Plastic Liquid Soap Dispenser (300ml, White)","1 Piece","Bathware & Laundry","Kuber Industries",,,227.49299381758388,499,,25.09297,54.179229086500904,0.07859771624091431,0.06623,0.05952,0.07106,0,238.14164881019906
"2026-03-01","N7YCG83JWH",,"Bathla Stainless Steel Mobidry Exa Ceiling Cloth Dryer (6feet, Silver)","1 Piece","Bathware & Laundry","Bathla",,,2638.2924777835287,4083.1152537499993,,42.69267,35.37235725404926,0.23174057317794905,0.2908,0.15489,0.04134,0.74053,2635.286445963803
"2026-03-01","7AZULC5WPM",,"Jaypee Plus Plastic Bathline Shower Vanity with Removable Tumbler (Grey)","1 Piece","Bathware & Laundry","Jaypee Plus",,,298.447184072754,384.8595016532259,,45.34834,22.449265548768466,0.025969789728118586,0.03849,0.17767,0.21098,0.00587,298.52863570290947
"2026-03-01","D1FKH2D5OA",,"Nayasa Plastic Diamond Soap Case Dispenser (Black)","1 Piece","Bathware & Laundry","Nayasa",,,432.6820141879918,499,,61.67332,13.314279103585275,0.04073388558157593,0.06752,0.34523,0.41217,0,431.6375564396792
"2026-03-01","7YW8SEVPTD",,"Hindware ABS Easy Clean Rain Shower with Arm (100mm, Square Head, 225mm Arm)","1 Piece","Bathware & Laundry","Hindware",,,767.2546248486298,1125,,21.74922,31.74847858376879,0.08384148449716618,0.1091,0.0017,0.00203,0,76426.92429541702
"2026-03-01","UJHODHQ7XY",,"Kuber Industries Plastic Bathroom Stool (23cm, Blue)","1 Piece","Bathware & Laundry","Kuber Industries",,,354.15057028758036,1049,,7.84327,66.20808037940044,0.07083497716154762,0.04485,0.0246,0.02937,0,359.7550293690855
"2026-03-01","8KWTJDOLLJ",,"SE7EN Plastic Adjustable and Multipurpose Hanger (Blue)","1 Piece","Bathware & Laundry","Se7en",,,37.52979416053748,39,,12.21769,3.7697585627244146,0.00025243908786783126,0.00046,0.00093,0.00006,0.00541,37.50203856520616
"2026-03-01","MNRCJRXKJ0",,"Jaypee Plus Rib Plastic Bathroom Set (Beige)","3 pieces","Bathware & Laundry","Jaypee Plus",,,806.0116446207105,1274.9123995867767,,23.58893,36.809612032697046,0.17602985456205025,0.21213,0.21539,0.25158,0.02872,268.1636404223335
"2026-03-01","UV24XVFBPG",,"Joyo Plastic Soap Dispenser (300ml, Grey)","1 Piece x 2","Bathware & Laundry","Joyo",,,195.45153121724695,243.09775927038626,,21.09366,19.599616300923874,,,0.3218,0.38419,0,195.45153121724695
"2026-03-01","WX7UXDX28V",,"Jaypee Plus Plastic Every day Bath Mug (1.5L, Beige)","1 Piece","Bathware & Laundry","Jaypee Plus",,,54.04018093678315,63,,49.46957,14.594935835011945,0.06297657410148597,0.10295,0.25336,0.2829,0.10103,53.751391161575185
"2026-03-01","3W04R42YIS",,"Kuber Industries Plastic Clothes Laundry Basket (75L, Brown)","1 Piece","Bathware & Laundry","Kuber Industries",,,831.6552635293837,2499,,18.14964,66.82165980535369,0.03216870727603998,0.01431,0.01027,0.00696,0.02735,581.1357675095023
"2026-03-01","3AQZ0WS0ZK",,"Asian Paints SmartCare Multi-Surface Tile Cleaner (for Ceramic and Other Surfaces)","500 ml","Bathware & Laundry","Asian Paints",,,120.95389170896786,125,,8.92395,3.236886632825714,0.0006780489509879912,0.00125,,,,24.17656599552572
"2026-03-01","A5CPKBQ9O7",,"Home Centre Monique Marco Ceramic Bathroom Set (Set of 3)","3 pieces","Bathware & Laundry","Home Centre",,,982.7204461340709,999,,32.97141,1.6295849715644721,0.00812195326183457,0.01532,0.01584,0.01891,0,327.77197550983556
"2026-03-01","PWIF3TKWJ4",,"UMAI Ceramic Liquid Soap Dispenser (300ml, Multicolour)","1 Piece","Bathware & Laundry","Umai",,,1195,1195,,1.51864,0,0,0,0,0,0,1195
"2026-03-01","U1C2VXBYNI",,"Lifelong Mild Steel Wall Mounted Corner Bathroom Shelf (Black)","2 pieces","Bathware & Laundry","Lifelong",,,400.8551705344403,1499,,41.37169,73.50255030080503,1.0579581251096155,0.52297,0.17859,0.21322,0,198.3519063704014
"2026-03-01","QD4AATI7V3",,"PrettyKrafts Jute Foldable Laundry Basket (75L, Grey)","1 Piece","Bathware & Laundry","PrettyKrafts",,,356.18705195485137,799,,41.25126,55.826116781729944,0.46821163535029103,0.3877,0.19353,0.23105,0,352.5477137726684
"2026-03-01","RRMTXNXU2X",,"Kuber Industries Non-Woven Laundry Basket (45L, Grey)","1 Piece","Bathware & Laundry","Kuber Industries",,,221.41304386542993,899.0000983467742,,55.65496,75.47389901624562,0.5475094872686144,0.25317,0.31236,0.23632,0.70459,220.9044099592518
"2026-03-01","QZ203NAUP5",,"Kuber Industries Plastic Bathroom Set (Grey)","5 pieces","Bathware & Laundry","Kuber Industries",,,1239,3199,,5.32169,61.2691466083151,0.004334553935482583,0.00322,0.00121,0.00144,0,247.80000000000004
"2026-03-01","SSS45D493U",,"Crownsy Fabric Foldable Laundry Bag (75L, Blue)","1 Piece","Bathware & Laundry","crownsy",,,234.0032343793719,599,,9.72114,62.05708559411822,0.09623539005272547,0.06686,0.01701,0.02031,0,217.79682290528248
"2026-03-01","I1L051QTAP",,"Saaj Metal SH Stretchable Rope (Blue)","1 Piece","Bathware & Laundry","saaj",,,115.42726111644288,245,,39.73192,52.35281241327258,0.07941343460321404,0.07164,0.11106,0.1326,0,117.89619326250062
"2026-03-01","U8W922F3O0",,"Nylon Rope","1 Piece","Bathware & Laundry","Unbranded",,,100,100,,0.34117,0,0,0,0,0,0,100
"2026-03-01","9Y4ORCZO0M",,"The Artment Black Streamline Wall Mirror (69cm)","1 Piece","Bathware & Laundry","The Artment",,,3175.807505163021,4499,,8.95057,29.410813399354954,0.006096342996383037,0.00779,0.0333,0.03976,0,304519.6198694915
"2026-03-01","I0X43V29LH",,"Kuber Industries Non-Woven Disney Kids Laundry Basket (45L, Royal Blue)","1 Piece","Bathware & Laundry","Kuber Industries",,,380.5422076339496,999,,14.49864,61.91887977639867,0.022335371470045072,0.01594,0.0037,0.00442,0,371.97116628897686
"2026-03-01","ORDXKLCNHW",,"Kuber Industries Plastic Round Bucket with Handle (24L, Black and Grey)","2 pieces","Bathware & Laundry","Kuber Industries",,,556.8122554631633,1599,,10.81324,65.17746995227246,0.007222224038301345,0.00455,0.06912,0.00073,0.42185,265.28583498660726
"2026-03-01","LJCXZMGT12",,"Command Plastic Micro Hooks (White)","225 g x 2","Bathware & Laundry","Command",,,179.9400360905005,197.9108794331984,,15.43515,9.08027057136273,,,0.46237,0.14032,2.12345,179.9400360905005
"2026-03-01","646M7UWHU1",,"Jalore Plastic Round Bucket with Handle (20L, Blue)","1 Piece","Bathware & Laundry","jalore",,,263.3620053674191,510,,82.4257,48.21157767609637,0.26682405083462507,0.26082,0.68299,0.81541,0,26353.019173209024
"2026-03-01","KSXV9ZNA84",,"The Better Home Soap Dispenser Bottle (260ml, Green)","260 ml","Bathware & Laundry","The Better Home",,,504.2838709677419,999,,7.48369,49.52113403726307,0,0,0.00067,0.0008,0,193.95533498759306
"2026-03-01","T6KMTW7IVM",,"Quace Ceramic Soap Dispenser Set (Black)","3 pieces","Bathware & Laundry","Quace",,,699,949,,1.75265,26.343519494204426,0,0,0.00007,0.00008,0,233
"2026-03-01","NUP7GQOQUN",,"Amro Hanger with Bar and SS Swivel Hook Wooden Brown (Pack of 3)","3 pieces","Bathware & Laundry","amro",,,269.00482889878367,424.11272625,,78.91547,36.605965907338636,0.07337820273330892,0.09037,0.15326,0.15618,0.13817,269.02075836387627
"2026-03-01","M5Q6QVVPFZ",,"SE7EN Plastic Wall Mounted Soap Dish/Holder (White and Brown)","1 Piece","Bathware & Laundry","Se7en",,,109.88534224787671,168.82529466346153,,15.94125,34.97321745065149,0.004425204364781339,0.0051,0.00058,0.00055,0.0007,102.35932188487558
"2026-03-01","JPPD86OG4T",,"Joyo Plastic Better Home Printed Patla/Stool (28cm, Assorted)","1 Piece","Bathware & Laundry","Joyo",,,280.424933233689,548,,11.48348,48.833034415003354,0.04191410268051785,0.04121,0.01383,0.01581,0.00366,281.35614146698884
"2026-03-01","SVCJFJWH9I",,"Better Home Heavy Plastic Square Linea Bucket (25L, Brown)","1 Piece","Bathware & Laundry","Joyo",,,350,599.8470965725807,,27.11803,41.65695347098794,0.12239759175334664,0.13694,0.08328,0.09203,0.03811,350
"2026-03-01","GDCYSFYB11",,"Amro Premium Non-Slip Wide Shoulder Hanger (Silver)","1 Piece","Bathware & Laundry","amro",,,81.57219154125889,148.9487340890688,,16.131,45.23899990585376,0.0013799461464551763,0.00142,0.00147,0.00052,0.00637,82.35776447110167
"2026-03-01","GG5G3U1JIJ",,"Plantex 304 Grade Stainless Steel Galaxy Double Soap Holder (Chrome)","1 Piece","Bathware & Laundry","Plantex",,,1394.5451241538317,2380,,13.87852,41.40566705236001,0,0,0.00562,0.00671,0,1394.5451241538317
"2026-03-01","856H6M476M",,"Nestasia Ceramic Liquid Soap Dispenser (260ml, Black)","1 Piece","Bathware & Laundry","Nestasia",,,526.0953560008859,1240.3022876036869,,11.41211,57.57108642355992,0.05315909195801415,0.04324,0.01459,0.00112,0.08405,526.8220402018069
"2026-03-01","T2GS0C6VSD",,"Joyo Berry Mug (1500ml, Grey)","1 Piece","Bathware & Laundry","Joyo",,,80.08489274628712,129.08490396313363,,14.67363,38.09638820983457,0.006949053237903304,0.00797,0.01482,0.01411,0.01848,77.19051140256397
"2026-03-01","IS2ID8VIHM",,"Jalore Square Plastic Bathroom Set (Brown and Beige)","3 pieces","Bathware & Laundry","jalore",,,695.4824559126422,1799,,51.79099,61.36786108060558,0.3267503531663887,0.23629,0.25559,0.30515,0,230.6747958424339
"2026-03-01","NZPJ20HFXV",,"Jaypee Plus Plastic Waves Bath Mug (1.5L, Brown)","1 Piece","Bathware & Laundry","Jaypee Plus",,,48.225806451612904,59,,32.72147,22.3118730605795,0.08909975140205026,0.13218,0.37599,0.44717,0.00888,45.68017927620578
"2026-03-01","O82O40HAX0",,"Lifelong Pluto Overhead Shower (3 Function, 4 inch)","1 Piece","Bathware & Laundry","Lifelong",,,373.45806211940106,900.1110438709678,,40.8921,58.64453100399148,0.22253731883120556,0.17391,0.02041,0.02436,0,371.5050576401291
"2026-03-01","0N5MJD30K8",,"Joyo Plastic Bathroom Set (Grey and Black)","4 pieces","Bathware & Laundry","Joyo",,,247.20079440680067,366.2422015725806,,52.11738,32.493836682537726,0.12087794367474346,0.15731,0.5589,0.62826,0.20114,62.37901248495358
"2026-03-01","1YR17IJVNI",,"Hindware 3 Mode Overhead Shower (without Arm, Rain, Mist & Combination Settings, Grey)","1 Piece","Bathware & Laundry","Hindware",,,1600,1600,,8.84534,0,0.0007226289079973934,0.00138,0.00001,0.00001,0,160000
"2026-03-01","MR5AAD9P4I",,"Plantex Stainless Steel No Drill Bathroom Stand (5mm thickness, Chrome)","1 Piece","Bathware & Laundry","Plantex",,,1898.6617078699421,3850,,15.7392,50.68411148389761,0.002608401739911837,0.00215,0.00996,0.0119,0,1685.2840466289572
"2026-03-01","FVOYZK66I3",,"Amro Suction Vacuum Hook for Glass (65mm Diameter, Set of 4)","4 pieces","Bathware & Laundry","amro",,,109.01779026217227,249,,1.94831,56.21775491479025,0,0,0.00049,0,0.00299,109.01779026217227
"2026-03-01","JMEQKPVBUU",,"Quace Grey Textured Glass Soap Dispenser","1 Piece","Bathware & Laundry","Quace",,,274.77777777777777,799,,1.84731,65.6097900152969,0,0,0.00016,0.00019,0,274.77777777777777
"2026-03-01","O3IFNB1JX8",,"Hindware Premium Health Faucet For Toilet with Flexible Stainless Steel Hose (1.2m, Chrome and Black)","1 Piece","Bathware & Laundry","Hindware",,,1184.682858342177,1990.1141862096774,,16.52502,40.47161381234636,0.033255563917901416,0.03798,0.00856,0.01022,0,1187.9231476195978
"2026-03-01","RSGUYN3PCX",,"Swastik Housewares Plastic Platinum Cloth Drying Clips (Assorted)","1 pack x 2","Bathware & Laundry","Swastik Housewares",,,136.82562728452206,150,,29.84602,8.782915143651968,,,0.21724,0.24694,0.06403,136.82562728452206
"2026-03-01","EE5S9TQ3AU",,"Pee Safe Portable Jet Spray","1 Piece","Bathware & Laundry","Pee Safe",,,2315.4787254901958,2999,,46.34371,22.81255127106598,0.2240943652931966,0.33026,0.12186,0.14549,0,2306.652540429599
"2026-03-01","3I266DJ6MR",,"Ddesh Jute and Cotton Rope Hand Woven Laundry Basket (33cm, Beige and Black)","1 Piece","Bathware & Laundry","ddesh",,,1029.1770313419095,2499,,30.57211,58.84001595200024,0.11095382193806069,0.08603,0.0344,0.04106,0,1003.9305904681905
"2026-03-01","P9KNN56361",,"Kuber Industries Plastic Multipurpose Bath Tub (26L, Brown)","1 Piece","Bathware & Laundry","Kuber Industries",,,396.9374774554987,1399,,40.30694,72.91460637874073,0.6507180498065004,0.29136,0.00286,0.00342,0,364.1525588916515
