"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","ISKPDS18DQ",,"Go24 pexpo Belly Stainless Steel Sports/Fridge Water Bottle (1L, Rosy Brown)","1 Piece","Bottles Flasks Tiffins","Pexpo",,,328.870072345658,445.1357968325792,,13.67896,26.140976637297936,0.021335394409399935,0.03043,0.46254,0.05083,1.04443,328.8576723756032
"2026-03-01","5WDNIOCKSQ",,"GLASAFE Borosilicate Glass Tiffin with Protective Silicone Cover (520ml, Grey)","1 Piece","Bottles Flasks Tiffins","Glasafe",,,356.44804448852767,1149,,12.17613,69.09987261621194,0.028528438160342742,0.01389,0.00058,0.001,0,318.3138463498867
"2026-03-01","IBVNZS6SBH",,"Go24 pexpo Cardio Stainless Steel Thermo Insulated Water Bottle (1L, Black, Hot and Cold)","1 Piece","Bottles Flasks Tiffins","Pexpo",,,968,999,,46.66667,3.103103103103103,0,0,,,,96800
"2026-03-01","F89903MCGQ",,"Nayasa Plastic On The Go Deluxe Lunch Box (900ml, White)","1 Piece","Bottles Flasks Tiffins","Nayasa",,,181.36599309548623,245.02271935483873,,14.29975,25.97036647995037,0.0013002929093044937,0.00189,0.00165,0.00282,0,184.12522084451047
"2026-03-01","RA8ODYWIRW",,"The Better Home Insulated Stainless Steel Bottle (750ml, Black)","1 Piece","Bottles Flasks Tiffins","The Better Home",,,662,2450,,2.53337,72.9795918367347,0,0,0.00001,0.00002,0,662
"2026-03-01","IJ3SOF3IBT",,"Milton Executive Stainless Steel and Plastic Lunch Box Set with Bag, Spoon and Fork (Insulated, 3 Pieces, 2 x 280ml, 1 x 450ml, Black)","1 pack","Bottles Flasks Tiffins","Milton",,,360.7348484848485,445,,4.00372,18.935989104528424,0.0018638453358772124,0.00288,0.00083,0.00141,0,356.4269511251585
"2026-03-01","MVARRXZKXY",,"Glass ideas Comfy Bottle Dotted with Steel Cap (500ml)","1 Piece","Bottles Flasks Tiffins","Glass Ideas",,,67.7373118423891,251.41969673387095,,57.70689,73.40976042377453,1.1377335893215388,0.58637,1.13503,1.93115,0.00986,66.76185507121941
"2026-03-01","0R400EQY7I",,"Claysmith Wavy Design Clay Water Bottle with Stainless Steel Cap (800ml)","1 Piece","Bottles Flasks Tiffins","Claysmith",,,288.9526037794241,419,,18.3241,31.097573639041624,0.00807565767623526,0.01014,0.01066,0.01821,0,276.186362599947
"2026-03-01","0SI5VB61L2",,"Boldfit Plastic Gallon Bottle Hulk (2.2L, Army Green)","1 Piece","Bottles Flasks Tiffins","Boldfit",,,906.5635025708796,1499,,46.57299,40.22977480446671,0.23164166440822298,0.26232,0.04561,0.07788,0,87743.19389523003
"2026-03-01","ZXHAX12J5T",,"Kuber Industries SS Water Bottle with Handle for Office, School and Gym (1000 ml, Leakproof, Blue-Silver)","1 Piece","Bottles Flasks Tiffins","Kuber Industries",,,214.29142301038428,999,,39.30494,78.53833346614141,0.02497150571715734,0.01036,0.0105,0.01793,0,214.1815707566012
"2026-03-01","LYXUFUPSJB",,"YouBee Little Lunch Box (Green)","1 Piece","Bottles Flasks Tiffins","Youbee",,,599,599,,1.5674,0,0,0,0.00004,0.00007,0,599
"2026-03-01","IX9TOR32S5",,"Borosil Neo Water Bottle with Husk Green Lid Borosilicate Glass Extreme Temperature Resistant For Hot Cold Water Milk Lassi Juice (550ml, Green)","1 Piece","Bottles Flasks Tiffins","Borosil",,,283.95914139300595,354.1666739919354,,76.65223,19.85232970492728,0.06274895691824982,0.09726,0.19711,0.24415,0.13062,283.97847682929216
"2026-03-01","AJBYO623BO",,"Borosil Carry Fresh Stainless Steel Lunchbox Container Set Dishwasher Safe Tiffin for Office School College (280ml x 2 + 180ml x 2)","1 pack","Bottles Flasks Tiffins","Borosil",,,1240.8359039259094,1521.177141814516,,63.00665,18.4159971714142,0.11112548364141321,0.1752,0.02869,0.04899,0,1240.1622376897835
"2026-03-01","Q19XSNH53N",,"Ellementry Terracotta Bottle with Wooden Lid (700ml, Brown)","1 Piece","Bottles Flasks Tiffins","Ellementry",,,739.465324111929,970.9446334677419,,29.99728,23.83720009600303,0.014704311129022579,0.0215,0.00972,0.0166,0,720.1985708587733
"2026-03-01","K9334P3SUK",,"Lifelong Electric Lunch Box (Set of 4)","1 pack","Bottles Flasks Tiffins","Lifelong",,,1349.11613905748,2299,,49.23922,41.31555391483666,0.06377736049894465,0.07227,0.00648,0.01106,0,1347.6243614007494
"2026-03-01","BLZFNADCRS",,"Signoraware Element Glass Bottle Set of 2, 1000ml each | Glassware","1 pack","Bottles Flasks Tiffins","Signoraware",,,564.6393856591437,749,,17.59184,24.615065373710745,0.012516796000720386,0.01817,0.03725,0.02304,0.05733,562.50155594868
"2026-03-01","EJG593ZAQA",,"Jaypee Binny Pro 500 Inner Stainless Steel Insulated Water Bottle for Kids (420ml, Red)","1 Piece","Bottles Flasks Tiffins","Jaypee",,,513.0529100529101,533,,15.40342,3.742418376564706,0,0,0.00019,0.00001,0.00045,51305.29100529101
"2026-03-01","RDG98VR8KI",,"SE7EN Minion Kids Lunch Box Set Idea Assorted Color","1 pack","Bottles Flasks Tiffins","Se7en",,,130.42592592592592,155,,8.50532,15.854241338112306,0.0010825300849419458,0.00177,0.00164,0.00281,0,131.18924731182796
"2026-03-01","141LAN9IPF",,"Cello Meal Box (500+80ml, Mustard Yellow, Lion King, Food-Grade, Leak-Resistant, Kid-Friendly Design)","1 Piece","Bottles Flasks Tiffins","Cello",,,587.3524707198678,599,,52.46862,1.944486431281617,0.0024678669598978383,0.00477,0.00172,0.00293,0,59886.28042253467
"2026-03-01","E4OI4N4UD3",,"Boldfit Thermosteel Flask (700ml, Insulated Hot & Cold for Travel, Black)","1 Piece","Bottles Flasks Tiffins","Boldfit",,,831.5842529711375,1299,,46.78233,35.993166263998354,0.09356570615830227,0.11569,0.00587,0.01003,0,830.6941172948609
"2026-03-01","UXWCL4MHF2",,"GLASAFE Borosilicate Glass Tiffin with Protective Silicone Cover (520ml, Green)","1 Piece","Bottles Flasks Tiffins","Glasafe",,,335.10339130437563,1151.2995689430895,,17.97157,70.96770501090623,0.04084489906562225,0.02203,0.00176,0.00301,0,334.13624221509366
"2026-03-01","19PC5FKYQP",,"Nestasia Jute Eco Friendly Lunch Bag (10.5L, Beige and Red)","1 Piece","Bottles Flasks Tiffins","Nestasia",,,683.54419542234,1310,,47.938,47.81181296382812,0.1914646327812286,0.19347,0.14962,0.1837,0.10146,683.8527961404457
"2026-03-01","3F42BOO65F",,"Java Plastic Lite Lunch Box with Spork (400ml, Red)","1 Piece","Bottles Flasks Tiffins","Java",,,98.57899893537589,200,,29.3024,50.68403819593313,0.006112356983482962,0.00549,0.00587,0.01002,0,94.40052629891547
"2026-03-01","D5YNCXSX7J",,"Nayasa Plastic Notebook Alpha Slim Water Bottle (580ml, Green)","1 Piece","Bottles Flasks Tiffins","Nayasa",,,226.60377358490567,325,,0.90227,30.27576197387518,0.00009074149241425133,0.00012,0.00003,0.00006,0,226.60377358490567
"2026-03-01","VBTR94DE0L",,"Jaypee Plus Safari Stainless Steel Bottle (750ml, Matt)","1 Piece","Bottles Flasks Tiffins","Jaypee Plus",,,231.44273723146964,335.0871897652582,,7.8783,30.941549163999333,0.0042575606606996925,0.00567,0.00362,0.00617,0.00003,230.79743733845453
"2026-03-01","S0OCD70A87",,"Borosil Bolt Stainless Steel Water Bottle 24 Hours Hot Cold Double Wall Vacuum Insulated Flask for Office Gym School (1L, Steel)","1 Piece","Bottles Flasks Tiffins","Borosil",,,1122.5980561686868,1450.0462267281107,,44.874,22.591227797751927,0.047178118998324026,0.07049,0.03236,0.01944,0.05063,1120.4455981078552
"2026-03-01","NJORHDCKUG",,"Cutting EDGE Borosilicate Glass Water Bottle with Blue Neoprene Sleeve (1L)","1 Piece","Bottles Flasks Tiffins","Cutting Edge",,,337.03592814371257,650,,1.60611,48.148318747121145,0.0003631335439735598,0.00036,0.00057,0.00098,0,335.88842435327933
"2026-03-01","NFWNVPOG5W",,"Cello Stainless Steel Nomad Vacuum Insulated Flask (350ml, Blue)","1 Piece","Bottles Flasks Tiffins","Cello",,,797.6472422022015,1599,,48.94454,49.06802060690858,0.20082064202309835,0.20377,0.00587,0.01003,0,841.5891655940053
"2026-03-01","H0D0TKTR14",,"JuteS Eco Love Food Hate Waste Jute Tote Lunch Bag (with Zip Closer, for Office)","1 Piece","Bottles Flasks Tiffins","JuteS Eco",,,435.25,499,,11.77686,12.775551102204409,0,0,0.00001,0.00001,0,43525
"2026-03-01","3LJYG8TQDA",,"Borosil Duomate 24 Hrs Hot & Cold Double Wall Vacuum Insulated Steel Bottle (750ml, Blue)","1 Piece","Bottles Flasks Tiffins","Borosil",,,969.8777772211881,1215,,24.87793,20.17461105867761,0.014218261823856307,0.02205,0.00726,0.0048,0.01074,970.8045964423291
"2026-03-01","LZ9DP58OJ6",,"HomeStop Essential Clara Glass Bottle (Set of 2, 750ml, Clear)","2 pieces","Bottles Flasks Tiffins","HomeStop",,,317.58893103629947,495,,26.84672,35.879429350648245,0.019769579995514867,0.02443,0.01077,0.01839,0,158.21544974923265
