"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","T7QJIJ3BPQ",,"MILTON Plastic Vintage PET Jar Set (1L, Transparent)","2 pieces","Jars Containers Holders","Milton",,,259.05280838421874,340,,50.88514,23.788903275169723,0.18498893155312499,0.28754,0.28543,0.25291,0.3797,259.14419664271946
"2026-03-01","3N7EHPE1MJ",,"Exclusivelane Ceramic 'Shades Of A Leaf' Hand-Painted Multi-Purpose Jars with Lids and Holders (4 Pieces, 220ml each, Brown and Green)","4 pieces","Jars Containers Holders","ExclusiveLane",,,1699,3175,,4.87411,46.488188976377955,0,0,0.00281,0.00053,0.00942,424.7499999999999
"2026-03-01","QBYJJIBHD3",,"Agaro Borosilicate Glass Elite Oil Dispensers (500ml)","2 pieces","Jars Containers Holders","Agaro",,,589.0735802125296,598.9224036563877,,56.92374,1.624772940108266,0.17846382917214768,0.35821,0.78621,0.18621,2.52551,294.6261289508521
"2026-03-01","BC9IJEZOHT",,"ExclusiveLane Ceramic Multi-Utility Storage Jar (410ml, Multicolour)","1 Piece","Jars Containers Holders","ExclusiveLane",,,512.9029692288975,875,,23.06486,41.37754718576494,0.04284602606124697,0.0511,0.015,0.00355,0.04819,513.7315684905961
"2026-03-01","07HB54E0D8",,"ExclusiveLane Ceramic 'Hut Handpainted' Pickle Jars with Spoons (280 ml, Multicolor)","2 pieces","Jars Containers Holders","ExclusiveLane",,,851.4766813942072,1493.6991083505156,,18.59146,42.99543484802046,0.002389180054546227,0.00276,0.01,0.00353,0.02875,424.64214430817
"2026-03-01","J22DQ8MJRW",,"Whitegold Glass Jar Set (6 Pieces, 125ml, Gold)","6 pieces","Jars Containers Holders","Whitegold",,,199,318,,4.71076,37.42138364779874,0.00211170940716013,0.0027,0.00532,0.00716,0,33.16666666666667
"2026-03-01","55OWZOZ3K6",,"Joyo Plastic Fresherware Spice Masala Box Shrink Pack (German Green)","1 Piece","Jars Containers Holders","Joyo",,,159,326,,10.56541,51.22699386503067,0.0020784001795302086,0.00207,0.00002,0.00003,0,158.99999999999997
"2026-03-01","KCZBVF5XQP",,"Nestasia Nestro Pro Round Airtight Containers (Set of 4, 215ml + 400ml + 600ml + 950ml)","4 pieces","Jars Containers Holders","Nestasia",,,1382.5958923158707,1845,,45.05066,25.078129794633114,0.46802253870200894,0.71523,0.05775,0.01449,0.18316,1381.7829389832368
"2026-03-01","SJSCQZH9J2",,"LocknLock Classic Food Storage Containers with Lid (2.6L, Pack of 2, Tall Square, Plastic, Leakproof, Airtight, Transparent, HPL822B)","2 pieces","Jars Containers Holders","Lock & Lock",,,1077.5818670576734,1320,,18.35649,18.36501007138837,0.01086932691081667,0.01806,0.00048,0.00064,0,537.5453600899903
"2026-03-01","HQ5FLQPD1X",,"Home Centre Glass Vault Trove Storage Jars (Set of 5)","5 pieces","Jars Containers Holders","Home Centre",,,983.0639247802077,999,,33.94449,1.5958300715939575,0.10783360416158395,0.21639,0.00458,0.00616,0,196.51924487004226
"2026-03-01","OC79LQ09KW",,"Borosil Endura Jar with PP Lid (1.2L, Transparent, Borosilicate Glass)","1 Piece x 2","Jars Containers Holders","Borosil",,,684.6981566820276,967.2903225806451,,9.6084,29.214824060752168,,,,,,684.6981566820276
