"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","0VWG8L9PFG",,"Scotch Brite Cotton Premium Kitchen Towel (Solid, Multicolor)","3 pieces x 2","Kitchen Cleaning","Scotch brite",,,337.6254054859476,359.98697665322584,,45.74306,6.211772263311349,,,0.82864,1.15159,0,337.6254054859476
"2026-03-01","8HB9QHBPL7",,"Robustt Microfiber Cloth Lint and Streak-Free Multipurpose (40x40cm, 350GSM, Grey)","4 pieces","Kitchen Cleaning","Robustt",,,274.1534093461258,399,,26.74169,31.2793370293183,0.340351152000633,0.32052,0.07483,0.08928,0.03775,68.55030725772004
"2026-03-01","7RLYTMIS30",,"Scotch Brite Better Grip Scrub Sponge Large (Green and Yellow)","1 Piece","Kitchen Cleaning","Scotch brite",,,33.007079029603176,35,,34.64587,5.665135208009679,0.25281260830434893,0.32595,0.19537,0.27151,0,33.017641228558745
"2026-03-01","VMPLBDQF5B",,"Scotch-Brite Super Hygiene Scrub Dots","1 Piece","Kitchen Cleaning","Scotch brite",,,149.6509651764745,345.0633683870967,,74.77786,56.42665646195151,7.3250459545667805,4.34695,1.75854,1.301,2.93251,150.350561376922
"2026-03-01","5A7RODUAPW",,"Scotch Brite Nylon Super Strong Scrub Pad (10.3 x 2.4 x 12.3 cm, Brown)","2 pieces","Kitchen Cleaning","Scotch brite",,,68.90057384129246,74.87515108870967,,78.97972,7.970508789375737,0.37005469482291803,0.46543,0.45388,0.63078,0,34.41574254363041
"2026-03-01","17AL0ABYZW",,"Swype Stainless Steel Sparkling Shine Scrubber (Silver)","2 pieces x 3","Kitchen Cleaning","Swype",,,84.06764074329998,120,,12.83562,29.94363271391669,,,1.34302,0.63408,3.16203,84.06764074329998
"2026-03-01","100000047","100000047","Dummy Product","100g","Kitchen Cleaning","dummy",0.04247,,,,0,,,1.5233045906035783e-7,,,,,
"2026-03-01","LRU629I3CX",,"GEBI Scubber with Holder Kitchen Blue","1 Piece","Kitchen Cleaning","Gebi",,,29.05834658428577,35,,10.65102,16.919449808102538,0.015333117010527987,0.01748,0.02996,0.019,0.05808,29.13990196506814
"2026-03-01","NTPQPEXZUR",,"Clazkit Silicone Bottle Cleaning Brush (31cm, Grey)","1 Piece","Kitchen Cleaning","Clazkit",,,39.00226832127319,49,,29.5256,20.383546558813478,0.12216171113941185,0.13301,0.06983,0.09698,0.00016,39.01360447761566
"2026-03-01","2QII6H4ST7",,"Swype Steel Sparkling Shine Power Scrubber (Black)","2 pieces","Kitchen Cleaning","Swype",,,45.671910167132665,89.85186411290323,,27.56926,49.83173953861806,0.31672396968444994,0.21455,1.40949,0.09006,4.79489,22.49895699819946
"2026-03-01","JOD35SIG0F",,"Swype Cellulose Sponge Wipe and Dishwash Gel (Multicolour)","1 Piece","Kitchen Cleaning","Swype",,,168.36201127847502,290.0045520087336,,16.11055,41.94504530625273,,,0.23544,0.05708,0.69307,168.36201127847502
"2026-03-01","DWZZ4UNXC5",,"Gala Foam Kitchen Sponge Wipe Set (18x15 cm, Assorted)","3 pieces","Kitchen Cleaning","Gala",,,97.68073119653702,187.44375322580643,,80.89446,48.01811524898652,10.319133229060668,7.34103,2.69376,3.71395,0.07613,32.545658903184965
"2026-03-01","WTVDGVPIRQ",,"Scotch Brite 2 Pcs Better Grip Scrub Sponge, Large","2 pieces x 2","Kitchen Cleaning","Scotch brite",,,130,130,,0.00873,0,,,0.00008,0.00011,0,130
"2026-03-01","LT68JKRJ0V",,"Shinezap Super Hard Scrub (Black)","1 Piece x 2","Kitchen Cleaning","Chakaa chak",,,75.54603010158566,80,,30.63269,5.5674623730179285,,,0.44478,0.4977,0.30899,75.54603010158566
"2026-03-01","G036WFK9NI",,"Kuber Industries Microfiber Cleaning Cloths for Kitchen, Car, Window (24 x 16 Inch, Green)","1 Piece","Kitchen Cleaning","Kuber Industries",,,103.67403314917127,181,,5.84003,42.7215286468667,0.0011897342422962254,0.00097,0.00001,0.00002,0,106.39610005909002
"2026-03-01","CRVIUK6GQV",,"IVS Cotton Kitchen Cleaning Terry Towel Premium Waffle Dish Cloth (Grey)","4 pieces","Kitchen Cleaning","ivs",,,281.60040106714666,382.84922379032264,,52.63414,26.391810738884597,0.12931195296038722,0.12841,0.11129,0.11881,0.092,70.65851232446754
"2026-03-01","PAPGQESKF3",,"Clazkit 3 in 1 Dishwashing and Handwash Liquid Soap Dispenser","1 Piece","Kitchen Cleaning","Clazkit",,,126.6969500749591,349.0072335483871,,58.72892,63.694968952319236,3.0725971807626506,1.52449,0.50695,0.70447,0.00012,126.71379951505816
"2026-03-01","406920HTUI",,"Vim Stainless Steel 2 in 1 Magic Scrub (Assorted)","1 Piece","Kitchen Cleaning","Vim",,,156.51430375280003,173.7052471830986,,15.71351,9.896617234698727,0.0002091091538313836,0.00025,0.00128,0.00177,0,158.3976867771444
"2026-03-01","GV561FMXEW",,"Gala Actifiber Sponge Cloth (2 in 1 PVA+Microfiber, Pack of 3)","3 pieces","Kitchen Cleaning","Gala",,,191.62370128158793,259,,10.79509,26.014014949193854,0.0204313631727223,0.02081,0.00133,0.00152,0.00085,193.17820389426052
"2026-03-01","BMCZV33N47",,"Swype Stainless Steel Sparkling Shine Scrubber (Silver)","2 pieces","Kitchen Cleaning","Swype",,,29.05415989122922,40,,34.32905,26.670370296147887,0.48130004730562637,0.48266,1.25278,0.57188,2.99984,14.669444598623453
"2026-03-01","33MVY7CZHR",,"Scotch Brite Stainless Steel Scrub and Pads Set (Silver)","3 pieces","Kitchen Cleaning","Scotch brite",,,139.44800833602287,149.97730870967743,,15.58548,6.999097780640873,0.024210751086824002,0.03127,0.01008,0.01401,0,47.0240149397416
"2026-03-01","PRSQKWJXUP",,"Scotch Brite Sponge Wipe Large (Assorted)","3 pieces","Kitchen Cleaning","Scotch brite",,,213.24660919343236,230.00957016129027,,88.82928,7.246428846096874,8.766919925626038,11.11578,2.57423,1.97599,4.10921,71.13112476540798
"2026-03-01","SORIJ8ABZV",,"Exo Stainless Steel Rust-Free Scrubber (Silver)","1 Piece","Kitchen Cleaning","Exo",,,12.990099009900991,14.985148514851485,,1.01256,13.314095164806984,0.0009508548315728953,0.00112,0.0045,0.00625,0,12.997059688326962
"2026-03-01","AQ62X1NI92",,"Chakaachak Cellulose Super Sponge Wipes (Multicolour)","3 pieces","Kitchen Cleaning","Chakaa chak",,,141.00344624371758,180.07967318548387,,69.5557,21.742188841877066,0.2896638822030521,0.30807,0.27283,0.36607,0.03357,46.838976377312434
"2026-03-01","KIA9DKAL8H",,"Gala Cotton Fibers Kitchen Sponge Foam Wipe Set (18x15 cm, Multicolour)","5 pieces","Kitchen Cleaning","Gala",,,185.18639958985128,283.9388309677419,,76.64171,35.221800463347286,2.892072853714444,2.56337,0.49263,0.66671,0.04597,36.80602998722673
"2026-03-01","MS37SJFNSB",,"The Artment CozyWeave Cotton Waffle Weave Kitchen Dish Cloth or Towel Set (6 Pieces)","6 pieces","Kitchen Cleaning","The Artment",,,388.00881273434027,499,,28.26245,22.250244890504508,0.06747482526228767,0.07161,0.02644,0.03675,0,64.58778209927792
"2026-03-01","9TJR2TDPF6",,"Swype Nylon Easy and Effective Cleaning Scrub Pad (7.5x10cm, Green)","2 pieces","Kitchen Cleaning","Swype",,,20.113892232612066,29.999891008064516,,42.39093,31.690420211668155,0.9255024090681546,0.8646,3.27092,3.18589,3.48909,10.246781358563252
"2026-03-01","AYNNVKQEP6",,"Scotch-Brite Microfiber Kitchen Wipe (29x31cm, Orange)","1 Piece","Kitchen Cleaning","Scotch brite",,,179.4250123955506,198.97462600806452,,49.32242,9.769425175894694,0.055708758911885085,0.06891,0.00931,0.01294,0,179.85624055104788
"2026-03-01","3GVRFVW9FF",,"Gala Stainless Steel Super Scrubber for Utensils (Black)","2 pieces","Kitchen Cleaning","Gala",,,74.78083412529658,84.98894504032256,,63.73586,12.405614220345853,0.6484869405884471,0.77689,0.44922,0.60607,0.04679,37.22382848055828
"2026-03-01","FAH9QTHO63",,"IVS Superior Cotton Kitchen Cleaning Cloth (Medium, Striped, Black and White, Pack of 6, Cleaning Cloth/Towels)","6 pieces","Kitchen Cleaning","ivs",,,316.8066073028532,398.96572125,,72.36405,21.01933777246389,0.2827478569814798,0.30271,0.24603,0.25948,0.21152,52.20031384129337
"2026-03-01","6SB4B9J28P",,"Scotch Brite Stainless Steel Scrub and Scrub Pad Combo (Silver)","1 Piece x 3","Kitchen Cleaning","Scotch brite",,,81.84529010276104,90.10466169354837,,55.89318,9.166419845044162,,,2.12017,2.43134,1.32178,81.84529010276104
"2026-03-01","WWL4AC1OXL",,"Scotch Brite Cellulose Sponge Wipe and Gloves (1 Sponge Wipe + 1 Pair Medium Size Golves, Multicolour)","1 Pair","Kitchen Cleaning","Scotch brite",,,222.91720047354772,249.99330858870968,,44.09344,10.830733137624778,,,0.25968,0.36089,0,222.91720047354772
"2026-03-01","MT7724DDGF",,"GEBI Microfiber Cloth (Assorted)","3 pieces","Kitchen Cleaning","Gebi",,,193.56584368452323,289,,22.19655,33.018757738177044,0.027766324057545273,0.02539,0.0029,0.00186,0.00557,64.78946798976017
"2026-03-01","DXZB32Z4FW",,"GEBI Cellulose Cleaning Wipes (Assorted)","5 pieces","Kitchen Cleaning","Gebi",,,178.25772947503305,239.64350165322577,,25.30721,27.073421869612396,0.1380870051876339,0.13586,0.02313,0.0066,0.06552,34.09348006634242
"2026-03-01","GC13J2Q2WO",,"Gala Nylon and Plastic Bottle Cleaner with Handle (43cm, Assorted Color)","1 Piece","Kitchen Cleaning","Gala",,,73.06920264892862,95,,33.60856,23.21304657537974,0.08286174394189749,0.08687,0.11272,0.15666,0,72.8932568218352
