"Date","Product ID","Item ID","Product Name","Grammage","Category","Brand","Offtake MRP","Offtake SP","SP","MRP","Units","Wt. OSA %","Wt. Discount %","Est. Category Share","Est. Category Share SP","Overall SOV","Organic SOV","Ad SOV","Wt. PPU (x100)"
"2026-03-01","6f647e27-dd74-4d07-b412-4adf6b603dc7",,"BAY6 Nonstick Cookware Set - (Dosa Tawa 26 cm + Fry Pan 24 cm) - Grey - (2pc)","1 pack (2 pcs)","Cookware","BAY6",,,625.5822040013506,1339.8769462280702,,56.58026,53.29882022362842,0.18294642391012084,0.17525,0.25355,0.14964,0.82499,310.15347152479376
"2026-03-01","af8fbe76-dfc5-4851-a769-61d71ead5732",,"BAY6 Premium Imported Borosilicate Baking Dish Rectangle - 1.6 L","1 pc","Cookware","BAY6",,,421.7672364086963,1099,,41.52167,61.627847485719286,0.12885597390442693,0.10004,0.02772,0.03276,0,418.3496792891675
"2026-03-01","4401314a-6eb3-42c4-8cbc-d7d5b27468b9",,"Milton Pro Cook Kitchen Jewel 3Pc (Frypan 24Cm; Kadhai 24Cm With Lid & Tawa 25Cm), Peach","1 pack (3 pcs)","Cookware","procook",,,1315.6345611850466,5000,,8.43166,73.71409593783861,0.1968655739410123,0.11614,,,,435.8867576223522
"2026-03-01","525cbd91-52a1-477b-912a-49375fc1a2fc",,"Macclite Non-Stick PDC Granite+ Induction Base Butter Scotch Triumph Tawa 26 cm","1 pc","Cookware","Macclite",,,1157.137828744984,2270,,49.08379,49.02058645630494,0.07241436253778473,0.0827,0.01394,0.01648,0,1212.8243129651644
"2026-03-01","8b85c05d-a7bb-45c5-9307-1238c8d67d83",,"Macclite Non-Stick PDC Granite+ Induction Base Hard Rock Sumo Casserole 36 cm with Glass lid","2 pcs","Cookware","Macclite",,,2819.331751555374,5470,,27.85407,48.322229914864145,0.08963096904589585,0.12063,0.03504,0.04142,0,3148.566201838704
"2026-03-01","c0ead3bb-3286-42b9-965e-55c626721062",,"Wonderchef Venice Stainless Steel Saucepan | 1.2Litre | Tri-Ply Bottom","1 pc","Cookware","Wonderchef",,,504.3566529492456,1000,,3.59577,49.564334705075446,0.006701806772459994,0.00728,,,,481.87438665358195
"2026-03-01","9213db72-3cd0-4302-a6c0-d58fb0404330",,"Macclite Non-Stick Flat Tawa | 24 cm | Induction Compatible","1 pc","Cookware","Macclite",,,1403.7422583683078,2670,,45.13555,47.31236652973287,0.10378417967831548,0.12454,0.12976,0.15336,0,1421.771318031762
"2026-03-01","dbc7c851-5eef-49c0-9f62-3fcf3ca91eab",,"Silicone Vaccum Cookware Lid 2pc Set | Medium 20 cm& XL 30 cm Microwave-freezer-dishwasher Safe","2 set","Cookware","Spine",,,469.92967647636596,890,,66.11842,47.189321625838076,0.014136121025149866,0.01905,0.03336,0.03943,0,466.93447018597817
"2026-03-01","f80ee023-c626-4107-ad05-67f003e80d77",,"Milton Pro Cook Kitchen Pride 5 Pc - Frypan 24 Cm | Kadhai 2.5L With Lid Tawa 25 Cm","1 set","Cookware","procook",,,1136.1654761904763,5000,,0.48523,77.27669047619047,0.008377258465574994,0.00503,,,,1086.2465529211486
"2026-03-01","c085b064-101f-413e-b14d-8e7594a5fb4c",,"Macclite Non Stick Hard Rock Miniso Tope 14 cm","1 pc","Cookware","Macclite",,,377.26932288232666,790,,53.03552,52.33778295565037,0.017895164443822675,0.02107,0.00093,0.0011,0,335.4021119364215
