Platform,Category,Sub-Category
Blinkit,Bathroom Essentials,Bathroom Essentials
Blinkit,Cleaning Tools,Cleaning Tools
Blinkit,Home Decor,Home Decor
Blinkit,Home Improvement,Home Improvement
Blinkit,Kitchen & Dining Needs,Kitchen & Dining Needs
Instamart,Bakeware & Bbq,Bakeware & Bbq
Instamart,Barware,Barware
Instamart,Bathware & Laundry,Bathware & Laundry
Instamart,Bottles Flasks Tiffins,Bottles Flasks Tiffins
Instamart,Cleaning Tools,Cleaning Tools
Instamart,Cookware,Cookware
Instamart,Cutlery & Ladles,Cutlery & Ladles
Instamart,Glasses Cups Mugs,Glasses Cups Mugs
Instamart,Jars Containers Holders,Jars Containers Holders
Instamart,Kitchen Cleaning,Kitchen Cleaning
Instamart,Kitchen Tools,Kitchen Tools
Instamart,Plates Bowls Crockery,Plates Bowls Crockery
Instamart,Serveware,Serveware
Instamart,Storage & Organizers,Storage & Organizers
Zepto,Bath & Laundry,Bath & Laundry
Zepto,Cleaning Aids,Cleaning Aids
Zepto,Cookware,Cookware
Zepto,Drinkware & Bar,Drinkware & Bar
Zepto,Gas Stove & Accessories,Gas Stove & Accessories
Zepto,Hardware & Fittings,Hardware & Fittings
Zepto,Home Decor,Home Decor
Zepto,Household Utility,Household Utility
Zepto,Kitchen Aids,Kitchen Aids
Zepto,Kitchen Cleaning,Kitchen Cleaning
Zepto,Kitchen Storage,Kitchen Storage
Zepto,Kitchen Tools,Kitchen Tools
Zepto,Lunch Boxes,Lunch Boxes
Zepto,Pressure Cooker,Pressure Cooker
Zepto,Steel Utensils,Steel Utensils
Zepto,Tableware,Tableware
